Budget_Category,Trip_Type,Duration_Days,Group_Size,Season,Activity_Preference,Trip_Plan
Low,Relaxing,5,Family,Spring,City,Mumbai
High,Cultural,2,Friends,Autumn,City,Mumbai
High,Adventure,14,Family,Spring,Hiking,Darjeeling
Medium,Relaxing,5,Family,Autumn,Nature,Darjeeling
Low,Cultural,3,Family,Spring,City,Kolkata
Medium,Adventure,11,Family,Winter,Hiking,Darjeeling
Low,Adventure,6,Family,Winter,Beach,Coorg
Low,Cultural,8,Solo,Winter,Hiking,Manali
Low,Cultural,6,Solo,Autumn,Sightseeing,Delhi
Medium,Cultural,6,Couple,Winter,Sightseeing,Udaipur
Low,Adventure,14,Family,Autumn,Beach,Kerala
Low,Cultural,6,Couple,Spring,City,Delhi
Medium,Adventure,7,Couple,Winter,City,Bengaluru
Medium,Cultural,5,Family,Summer,Hiking,Andaman
Medium,Relaxing,7,Family,Winter,Nature,Andaman
Medium,Cultural,5,Solo,Autumn,Beach,Darjeeling
High,Adventure,13,Friends,Winter,Sightseeing,Jaipur
Low,Adventure,9,Couple,Spring,Hiking,Manali
Low,Adventure,11,Solo,Summer,City,Delhi
Low,Adventure,6,Couple,Autumn,Sightseeing,Hampi
Low,Adventure,12,Family,Winter,Beach,Sikkim
High,Adventure,7,Family,Winter,Nature,Sikkim
Medium,Cultural,6,Couple,Autumn,Beach,Kerala
Medium,Cultural,5,Solo,Spring,City,Mumbai
Medium,Cultural,6,Friends,Winter,Hiking,Ooty
High,Adventure,14,Solo,Spring,Nature,Andaman
Medium,Cultural,4,Friends,Autumn,Beach,Mumbai
Medium,Cultural,8,Friends,Summer,Sightseeing,Delhi
Medium,Adventure,7,Family,Summer,City,Kerala
Medium,Cultural,7,Couple,Spring,Hiking,Sikkim
Medium,Adventure,9,Couple,Autumn,Sightseeing,Agra
Low,Cultural,6,Friends,Autumn,Beach,Kerala
Medium,Relaxing,10,Friends,Spring,Hiking,Darjeeling
Medium,Cultural,7,Couple,Winter,Sightseeing,Jaipur
Low,Cultural,8,Couple,Autumn,Sightseeing,Hampi
Low,Cultural,2,Friends,Winter,Sightseeing,Delhi
Medium,Cultural,4,Solo,Summer,Beach,Goa
Medium,Cultural,6,Family,Autumn,City,Delhi
Low,Adventure,13,Family,Spring,Sightseeing,Mysore
Low,Relaxing,5,Couple,Autumn,Hiking,Darjeeling
Medium,Adventure,5,Couple,Autumn,City,Delhi
High,Cultural,8,Family,Summer,Hiking,Sikkim
Low,Adventure,5,Couple,Summer,Sightseeing,Hampi
High,Cultural,8,Family,Winter,Hiking,Darjeeling
Medium,Cultural,6,Friends,Autumn,Sightseeing,Hampi
Medium,Relaxing,6,Couple,Autumn,Beach,Andaman
Low,Adventure,5,Family,Spring,Nature,Kolkata
High,Relaxing,6,Friends,Summer,City,Leh
Low,Cultural,3,Couple,Spring,City,Coorg
High,Cultural,2,Family,Spring,Hiking,Manali
Medium,Adventure,9,Solo,Winter,City,Kolkata
Medium,Cultural,8,Family,Summer,City,Leh
Low,Cultural,6,Friends,Summer,Hiking,Darjeeling
Low,Cultural,5,Solo,Autumn,Hiking,Manali
Medium,Relaxing,7,Family,Summer,Beach,Andaman
Medium,Adventure,10,Family,Spring,Hiking,Leh
Medium,Adventure,6,Friends,Spring,City,Darjeeling
High,Cultural,3,Friends,Winter,City,Delhi
Low,Adventure,8,Family,Winter,Beach,Kerala
Low,Relaxing,10,Couple,Winter,Beach,Goa
Medium,Relaxing,9,Family,Summer,Sightseeing,Delhi
Medium,Adventure,8,Couple,Winter,City,Kolkata
Low,Adventure,6,Family,Summer,City,Kolkata
Medium,Relaxing,4,Friends,Winter,City,Bengaluru
Low,Relaxing,9,Family,Autumn,Hiking,Ooty
Medium,Cultural,3,Friends,Summer,City,Shimla
High,Cultural,5,Solo,Spring,City,Mumbai
Medium,Relaxing,5,Solo,Spring,Sightseeing,Varanasi
Low,Relaxing,5,Couple,Spring,Hiking,Leh
High,Cultural,6,Friends,Winter,Hiking,Delhi
Low,Cultural,7,Friends,Autumn,Nature,Udaipur
Low,Adventure,7,Family,Summer,Sightseeing,Varanasi
Low,Adventure,6,Solo,Spring,Hiking,Ooty
Medium,Cultural,8,Friends,Summer,Sightseeing,Udaipur
Medium,Cultural,6,Couple,Summer,Sightseeing,Jaipur
Medium,Cultural,2,Friends,Spring,Beach,Goa
Medium,Cultural,7,Family,Summer,Sightseeing,Udaipur
Low,Cultural,5,Family,Spring,Sightseeing,Udaipur
Low,Adventure,12,Couple,Spring,City,Mumbai
Medium,Relaxing,5,Solo,Spring,Hiking,Shimla
Medium,Relaxing,3,Family,Summer,Hiking,Shimla
Low,Cultural,8,Friends,Spring,Beach,Andaman
Medium,Relaxing,10,Couple,Summer,City,Mumbai
Low,Cultural,7,Couple,Summer,Hiking,Varanasi
Medium,Cultural,7,Solo,Summer,Beach,Andaman
Low,Cultural,5,Solo,Spring,City,Delhi
Medium,Adventure,4,Couple,Spring,City,Kolkata
Medium,Relaxing,4,Couple,Spring,City,Bengaluru
Medium,Cultural,3,Solo,Summer,Nature,Kerala
High,Relaxing,10,Family,Winter,Beach,Goa
High,Relaxing,7,Friends,Autumn,Hiking,Ooty
Medium,Relaxing,5,Family,Winter,Hiking,Shimla
Medium,Adventure,4,Friends,Autumn,City,Bengaluru
Medium,Relaxing,10,Friends,Spring,City,Delhi
Medium,Relaxing,4,Solo,Spring,Sightseeing,Jaipur
Low,Relaxing,9,Couple,Spring,Beach,Kerala
Low,Adventure,5,Couple,Autumn,Sightseeing,Jaipur
High,Cultural,2,Friends,Winter,City,Kolkata
Medium,Relaxing,7,Solo,Autumn,City,Delhi
Medium,Relaxing,6,Friends,Spring,Nature,Coorg
Medium,Adventure,14,Family,Autumn,Sightseeing,Agra
Medium,Relaxing,10,Family,Autumn,Beach,Varanasi
High,Cultural,5,Friends,Winter,Sightseeing,Udaipur
Medium,Relaxing,10,Family,Summer,Sightseeing,Varanasi
Low,Relaxing,7,Solo,Autumn,Beach,Goa
Medium,Relaxing,5,Family,Winter,Hiking,Ooty
Medium,Relaxing,7,Couple,Spring,Hiking,Ooty
Low,Relaxing,5,Family,Winter,Sightseeing,Mysore
Low,Cultural,8,Family,Spring,City,Mumbai
Low,Cultural,8,Friends,Summer,City,Delhi
High,Cultural,6,Friends,Spring,City,Delhi
Medium,Relaxing,4,Friends,Winter,City,Bengaluru
Low,Relaxing,3,Friends,Autumn,City,Bengaluru
Medium,Adventure,11,Couple,Winter,Beach,Andaman
Medium,Adventure,8,Couple,Spring,Hiking,Darjeeling
Low,Adventure,9,Friends,Summer,City,Bengaluru
Low,Relaxing,10,Family,Autumn,Sightseeing,Varanasi
Low,Cultural,7,Family,Spring,Beach,Manali
Medium,Relaxing,7,Couple,Winter,City,Mumbai
Low,Adventure,12,Couple,Spring,Hiking,Sikkim
Low,Cultural,7,Solo,Summer,Sightseeing,Udaipur
Medium,Relaxing,3,Family,Spring,Beach,Kerala
Medium,Cultural,8,Solo,Spring,Hiking,Jaipur
High,Adventure,11,Solo,Winter,Hiking,Leh
High,Adventure,12,Solo,Spring,Sightseeing,Varanasi
Medium,Relaxing,7,Family,Spring,Beach,Kerala
High,Adventure,8,Solo,Winter,Hiking,Darjeeling
High,Adventure,13,Couple,Summer,Beach,Andaman
Low,Adventure,14,Couple,Autumn,Hiking,Shimla
Medium,Cultural,8,Couple,Summer,Hiking,Sikkim
Medium,Relaxing,5,Solo,Spring,Nature,Darjeeling
Medium,Adventure,14,Friends,Autumn,City,Leh
Low,Relaxing,7,Solo,Winter,Beach,Kerala
Medium,Relaxing,10,Family,Spring,Hiking,Sikkim
Low,Adventure,6,Friends,Summer,Sightseeing,Jaipur
Low,Cultural,3,Family,Winter,Beach,Goa
High,Relaxing,10,Friends,Winter,City,Kolkata
Medium,Cultural,5,Friends,Autumn,Sightseeing,Mysore
Medium,Adventure,11,Solo,Autumn,Sightseeing,Agra
Medium,Relaxing,3,Solo,Autumn,City,Kolkata
High,Relaxing,7,Friends,Spring,Hiking,Manali
Medium,Adventure,5,Solo,Autumn,Nature,Andaman
Low,Cultural,2,Friends,Summer,Nature,Andaman
High,Cultural,7,Solo,Summer,City,Delhi
Medium,Relaxing,9,Family,Spring,Beach,Kerala
Medium,Relaxing,8,Solo,Winter,Sightseeing,Mysore
Low,Relaxing,7,Solo,Summer,City,Kolkata
High,Relaxing,7,Couple,Spring,Hiking,Ooty
High,Relaxing,10,Couple,Spring,Sightseeing,Andaman
Medium,Adventure,6,Couple,Spring,Hiking,Darjeeling
Medium,Cultural,2,Family,Summer,Beach,Andaman
Low,Relaxing,8,Couple,Winter,Nature,Kerala
High,Relaxing,4,Solo,Winter,City,Delhi
Medium,Relaxing,3,Couple,Autumn,City,Mumbai
High,Cultural,8,Family,Summer,Sightseeing,Hampi
Medium,Cultural,7,Friends,Autumn,Sightseeing,Delhi
Medium,Adventure,4,Couple,Spring,Beach,Goa
Medium,Relaxing,8,Friends,Summer,City,Delhi
Low,Relaxing,8,Solo,Summer,Beach,Goa
Medium,Relaxing,6,Solo,Winter,City,Bengaluru
Medium,Adventure,11,Solo,Autumn,Nature,Sikkim
Low,Adventure,4,Friends,Winter,City,Bengaluru
Medium,Cultural,7,Solo,Spring,Sightseeing,Delhi
Low,Cultural,5,Solo,Summer,Hiking,Shimla
Medium,Adventure,9,Family,Autumn,Sightseeing,Udaipur
Low,Adventure,8,Friends,Winter,Sightseeing,Udaipur
Low,Adventure,11,Couple,Winter,Beach,Andaman
Low,Relaxing,7,Friends,Autumn,Nature,Coorg
High,Relaxing,3,Couple,Spring,City,Andaman
Low,Adventure,5,Friends,Winter,City,Bengaluru
Medium,Cultural,3,Couple,Summer,Beach,Kerala
Low,Adventure,5,Couple,Spring,Hiking,Sikkim
Medium,Relaxing,7,Family,Summer,Sightseeing,Jaipur
Low,Adventure,4,Friends,Spring,Beach,Kerala
Low,Adventure,13,Friends,Spring,Beach,Kolkata
Medium,Cultural,3,Family,Summer,City,Mumbai
Medium,Cultural,8,Couple,Spring,Nature,Mysore
Medium,Relaxing,6,Friends,Summer,Beach,Kerala
Low,Adventure,9,Family,Winter,Hiking,Leh
Low,Adventure,6,Family,Autumn,Hiking,Ooty
Low,Cultural,6,Solo,Winter,City,Kolkata
Low,Relaxing,8,Friends,Summer,Hiking,Leh
Medium,Cultural,3,Family,Autumn,Sightseeing,Mysore
Medium,Cultural,6,Friends,Spring,Beach,Kerala
Low,Adventure,5,Friends,Spring,Beach,Kerala
Medium,Adventure,6,Solo,Spring,City,Kolkata
Medium,Cultural,5,Friends,Autumn,City,Kolkata
Low,Cultural,5,Family,Winter,Hiking,Darjeeling
Medium,Adventure,4,Couple,Winter,Sightseeing,Hampi
Medium,Relaxing,7,Family,Spring,Nature,Darjeeling
Medium,Adventure,10,Friends,Summer,Sightseeing,Mysore
Medium,Relaxing,5,Family,Winter,Beach,Kerala
Medium,Relaxing,10,Couple,Autumn,Beach,Goa
Medium,Adventure,13,Friends,Winter,Beach,Sikkim
Medium,Adventure,7,Friends,Summer,Beach,Kerala
Medium,Adventure,12,Family,Summer,Beach,Goa
Medium,Adventure,5,Solo,Autumn,Nature,Kolkata
Medium,Cultural,2,Family,Summer,Sightseeing,Hampi
Medium,Adventure,12,Solo,Autumn,Beach,Andaman
Medium,Cultural,6,Solo,Summer,Sightseeing,Bengaluru
High,Adventure,4,Family,Summer,City,Bengaluru
Medium,Relaxing,7,Couple,Autumn,Sightseeing,Hampi
Low,Adventure,8,Solo,Winter,Beach,Kerala
Low,Cultural,6,Solo,Autumn,Hiking,Leh
Low,Cultural,8,Couple,Summer,Sightseeing,Agra
Low,Relaxing,9,Couple,Winter,Hiking,Shimla
Medium,Relaxing,7,Family,Spring,City,Mumbai
Medium,Adventure,12,Friends,Autumn,Beach,Kerala
Low,Adventure,11,Friends,Spring,City,Bengaluru
Low,Cultural,5,Family,Winter,Nature,Kolkata
Low,Relaxing,9,Solo,Summer,City,Delhi
Low,Adventure,6,Family,Autumn,City,Mumbai
Low,Cultural,7,Solo,Autumn,City,Delhi
Low,Relaxing,6,Solo,Spring,City,Kolkata
Low,Cultural,8,Couple,Summer,Beach,Bengaluru
Low,Relaxing,10,Couple,Summer,City,Mumbai
Low,Cultural,7,Friends,Autumn,Sightseeing,Udaipur
Low,Cultural,4,Solo,Summer,Hiking,Leh
Medium,Relaxing,6,Friends,Winter,Nature,Coorg
Medium,Relaxing,4,Friends,Spring,Sightseeing,Leh
Medium,Relaxing,3,Family,Winter,Beach,Shimla
Medium,Relaxing,9,Couple,Autumn,Beach,Kerala
Medium,Cultural,8,Friends,Winter,City,Mumbai
High,Relaxing,8,Friends,Spring,Sightseeing,Udaipur
Low,Cultural,5,Family,Spring,Sightseeing,Udaipur
Low,Relaxing,7,Friends,Autumn,Sightseeing,Agra
Low,Adventure,6,Friends,Autumn,Sightseeing,Agra
Medium,Adventure,14,Solo,Winter,City,Kolkata
Low,Relaxing,3,Family,Winter,Nature,Coorg
Medium,Cultural,3,Couple,Autumn,City,Andaman
Low,Adventure,14,Solo,Spring,City,Delhi
High,Cultural,3,Solo,Summer,Sightseeing,Agra
Medium,Adventure,7,Couple,Spring,Beach,Kerala
High,Relaxing,6,Couple,Summer,City,Delhi
Medium,Relaxing,10,Family,Autumn,Beach,Kerala
High,Relaxing,3,Friends,Winter,Beach,Leh
Medium,Cultural,8,Family,Summer,Nature,Sikkim
Medium,Relaxing,5,Friends,Summer,City,Mumbai
Medium,Cultural,8,Solo,Autumn,Sightseeing,Varanasi
Low,Relaxing,6,Solo,Autumn,Beach,Kerala
Low,Relaxing,10,Couple,Autumn,City,Delhi
Medium,Relaxing,7,Family,Spring,City,Kolkata
High,Cultural,2,Couple,Spring,Beach,Leh
Low,Adventure,9,Couple,Autumn,City,Mumbai
Medium,Relaxing,6,Couple,Summer,Hiking,Sikkim
Low,Cultural,4,Friends,Spring,Sightseeing,Mysore
Low,Adventure,13,Family,Spring,Hiking,Shimla
Medium,Adventure,8,Family,Spring,Beach,Kerala
Medium,Cultural,8,Couple,Spring,Nature,Coorg
Low,Cultural,3,Friends,Autumn,Sightseeing,Varanasi
Medium,Cultural,2,Couple,Winter,Sightseeing,Agra
Medium,Adventure,10,Solo,Summer,Beach,Kerala
Low,Adventure,10,Solo,Autumn,City,Shimla
High,Relaxing,7,Solo,Summer,Hiking,Ooty
Medium,Relaxing,9,Couple,Winter,City,Bengaluru
Low,Cultural,7,Solo,Summer,Sightseeing,Agra
Medium,Cultural,2,Couple,Winter,Hiking,Darjeeling
Medium,Cultural,4,Solo,Spring,Beach,Goa
Medium,Relaxing,6,Solo,Autumn,Hiking,Darjeeling
Medium,Relaxing,6,Couple,Winter,Hiking,Darjeeling
Medium,Relaxing,4,Friends,Summer,Sightseeing,Hampi
Low,Adventure,5,Family,Winter,City,Kolkata
Low,Adventure,8,Solo,Spring,Beach,Goa
Medium,Cultural,7,Solo,Summer,Sightseeing,Jaipur
Medium,Adventure,5,Solo,Summer,Sightseeing,Delhi
Medium,Cultural,7,Friends,Autumn,Hiking,Darjeeling
Medium,Cultural,6,Friends,Summer,Sightseeing,Delhi
Low,Cultural,8,Family,Winter,Hiking,Shimla
High,Relaxing,5,Family,Spring,Sightseeing,Mysore
Low,Relaxing,10,Family,Autumn,City,Delhi
Medium,Cultural,5,Family,Spring,Hiking,Shimla
Low,Relaxing,10,Friends,Winter,Sightseeing,Kerala
Medium,Adventure,8,Family,Summer,Sightseeing,Bengaluru
Medium,Cultural,2,Friends,Summer,City,Mumbai
Low,Adventure,7,Friends,Autumn,Beach,Goa
Low,Adventure,8,Couple,Winter,Hiking,Manali
Low,Cultural,4,Friends,Spring,Sightseeing,Hampi
Medium,Cultural,5,Couple,Autumn,Nature,Darjeeling
Low,Relaxing,4,Friends,Winter,Beach,Andaman
Medium,Adventure,10,Couple,Winter,City,Kolkata
Low,Adventure,12,Couple,Summer,Beach,Kerala
Medium,Adventure,8,Solo,Summer,Nature,Andaman
High,Adventure,10,Couple,Spring,Sightseeing,Kerala
Medium,Relaxing,3,Friends,Spring,City,Bengaluru
Medium,Cultural,5,Family,Summer,Nature,Kolkata
Low,Relaxing,8,Solo,Autumn,Hiking,Sikkim
Medium,Relaxing,3,Solo,Summer,Sightseeing,Jaipur
Medium,Relaxing,3,Couple,Summer,Sightseeing,Varanasi
Low,Cultural,2,Family,Autumn,Sightseeing,Delhi
Medium,Cultural,8,Couple,Autumn,Sightseeing,Delhi
Medium,Relaxing,8,Family,Spring,City,Mumbai
Medium,Relaxing,5,Friends,Summer,Beach,Goa
Medium,Cultural,2,Solo,Summer,Sightseeing,Jaipur
Low,Adventure,11,Family,Spring,Nature,Sikkim
Low,Cultural,8,Family,Spring,Sightseeing,Jaipur
Low,Relaxing,4,Couple,Spring,City,Mumbai
Medium,Cultural,2,Solo,Spring,Beach,Kerala
High,Adventure,14,Solo,Spring,Sightseeing,Agra
High,Relaxing,3,Couple,Autumn,Nature,Kolkata
Low,Relaxing,4,Couple,Autumn,Nature,Andaman
Medium,Adventure,12,Family,Spring,City,Mumbai
High,Cultural,6,Friends,Summer,Nature,Kolkata
Medium,Adventure,10,Couple,Autumn,Hiking,Darjeeling
Low,Relaxing,3,Family,Autumn,Beach,Andaman
Medium,Relaxing,10,Family,Autumn,Beach,Andaman
Low,Cultural,8,Solo,Winter,Hiking,Leh
Medium,Relaxing,4,Solo,Summer,Hiking,Ooty
Low,Adventure,7,Couple,Spring,Sightseeing,Hampi
Low,Adventure,8,Friends,Autumn,City,Bengaluru
High,Cultural,6,Family,Summer,City,Hampi
Low,Adventure,14,Friends,Summer,Beach,Goa
Low,Relaxing,9,Solo,Winter,Beach,Andaman
Low,Adventure,12,Solo,Autumn,Beach,Andaman
Medium,Cultural,8,Family,Autumn,Hiking,Delhi
High,Cultural,4,Solo,Summer,Beach,Mysore
High,Adventure,6,Family,Winter,Beach,Goa
Medium,Cultural,7,Friends,Autumn,Hiking,Ooty
Medium,Cultural,6,Friends,Summer,Sightseeing,Sikkim
Low,Cultural,2,Solo,Spring,City,Bengaluru
Low,Cultural,5,Family,Summer,Hiking,Darjeeling
Low,Relaxing,4,Couple,Autumn,Sightseeing,Kerala
Low,Relaxing,9,Family,Spring,City,Kolkata
Medium,Cultural,5,Family,Summer,Hiking,Manali
Medium,Relaxing,8,Family,Summer,City,Bengaluru
Medium,Adventure,12,Solo,Winter,Hiking,Kerala
Medium,Relaxing,4,Solo,Autumn,Sightseeing,Udaipur
Medium,Cultural,2,Couple,Summer,Beach,Andaman
Medium,Relaxing,9,Family,Spring,Sightseeing,Hampi
Low,Cultural,6,Solo,Autumn,Sightseeing,Bengaluru
High,Cultural,7,Friends,Summer,Sightseeing,Hampi
Medium,Cultural,4,Solo,Autumn,Nature,Coorg
Low,Cultural,8,Friends,Summer,Beach,Goa
Low,Cultural,4,Family,Autumn,Sightseeing,Jaipur
Low,Relaxing,7,Couple,Winter,Sightseeing,Hampi
High,Adventure,6,Couple,Spring,Nature,Darjeeling
High,Cultural,2,Friends,Winter,Beach,Kerala
High,Relaxing,4,Family,Autumn,Hiking,Leh
Medium,Adventure,13,Solo,Autumn,Hiking,Mumbai
Low,Cultural,4,Solo,Winter,Hiking,Sikkim
Medium,Cultural,2,Friends,Spring,City,Bengaluru
Medium,Relaxing,4,Friends,Autumn,Sightseeing,Varanasi
Low,Relaxing,8,Couple,Summer,Sightseeing,Agra
Low,Cultural,8,Solo,Autumn,Sightseeing,Udaipur
High,Relaxing,4,Family,Winter,Sightseeing,Jaipur
Medium,Cultural,8,Family,Summer,Hiking,Darjeeling
High,Cultural,8,Family,Winter,Hiking,Goa
High,Adventure,5,Friends,Winter,Sightseeing,Mysore
Medium,Adventure,4,Family,Summer,Beach,Kerala
Medium,Adventure,7,Couple,Spring,Sightseeing,Udaipur
Low,Relaxing,9,Couple,Winter,Sightseeing,Udaipur
Low,Cultural,8,Couple,Autumn,Sightseeing,Udaipur
Low,Adventure,13,Friends,Winter,Hiking,Manali
High,Adventure,6,Friends,Spring,Sightseeing,Hampi
Medium,Relaxing,9,Solo,Spring,Hiking,Ooty
Low,Adventure,8,Couple,Spring,City,Kolkata
Low,Adventure,8,Couple,Winter,Hiking,Shimla
Low,Relaxing,10,Family,Spring,Sightseeing,Agra
Low,Adventure,9,Friends,Spring,Sightseeing,Jaipur
Medium,Cultural,6,Family,Spring,City,Bengaluru
Medium,Adventure,12,Solo,Spring,Nature,Darjeeling
Low,Cultural,4,Solo,Autumn,Nature,Sikkim
Low,Cultural,5,Family,Autumn,Nature,Kerala
Medium,Cultural,5,Family,Autumn,Hiking,Darjeeling
Low,Cultural,3,Family,Summer,Sightseeing,Varanasi
High,Relaxing,5,Friends,Spring,City,Kerala
Low,Adventure,9,Friends,Spring,Beach,Delhi
High,Adventure,5,Couple,Spring,Sightseeing,Udaipur
Low,Adventure,4,Couple,Autumn,Beach,Kerala
Low,Cultural,4,Friends,Autumn,Hiking,Leh
Medium,Relaxing,5,Solo,Winter,Nature,Sikkim
Medium,Cultural,2,Family,Autumn,City,Mumbai
Low,Cultural,2,Couple,Spring,City,Bengaluru
Low,Relaxing,7,Friends,Spring,Hiking,Ooty
Low,Cultural,8,Friends,Summer,Beach,Shimla
Medium,Adventure,13,Family,Winter,Beach,Kerala
Low,Adventure,11,Friends,Winter,Beach,Kerala
High,Cultural,5,Couple,Summer,Sightseeing,Hampi
Medium,Relaxing,4,Couple,Winter,Sightseeing,Varanasi
Low,Cultural,4,Couple,Autumn,Beach,Kerala
Medium,Adventure,12,Solo,Autumn,Sightseeing,Agra
High,Cultural,2,Family,Summer,Sightseeing,Goa
Medium,Relaxing,7,Solo,Summer,Beach,Kerala
Medium,Cultural,8,Family,Summer,Sightseeing,Jaipur
Medium,Cultural,2,Solo,Summer,Hiking,Manali
Medium,Cultural,7,Friends,Winter,Beach,Andaman
Medium,Cultural,2,Friends,Winter,Hiking,Leh
Low,Relaxing,6,Friends,Autumn,City,Delhi
Low,Cultural,3,Friends,Spring,Beach,Mysore
High,Adventure,13,Couple,Spring,Nature,Andaman
Medium,Cultural,7,Friends,Winter,Beach,Kerala
Medium,Relaxing,10,Friends,Autumn,Sightseeing,Agra
Low,Adventure,14,Solo,Summer,Sightseeing,Varanasi
Medium,Adventure,4,Friends,Autumn,Beach,Kerala
Low,Relaxing,8,Couple,Autumn,Hiking,Mysore
Medium,Relaxing,8,Friends,Winter,Beach,Goa
Medium,Relaxing,6,Friends,Spring,Sightseeing,Varanasi
High,Adventure,12,Family,Spring,Beach,Goa
Low,Cultural,4,Solo,Winter,Hiking,Sikkim
Medium,Adventure,4,Family,Winter,Hiking,Sikkim
Medium,Relaxing,10,Solo,Autumn,Hiking,Manali
Medium,Cultural,2,Solo,Winter,Nature,Coorg
High,Cultural,7,Couple,Autumn,Sightseeing,Hampi
Medium,Relaxing,6,Couple,Spring,City,Kolkata
High,Relaxing,5,Friends,Summer,City,Bengaluru
Low,Adventure,6,Friends,Winter,Sightseeing,Varanasi
High,Cultural,5,Family,Winter,Nature,Kerala
Low,Relaxing,5,Friends,Winter,Sightseeing,Varanasi
Medium,Cultural,7,Solo,Winter,City,Bengaluru
Medium,Cultural,4,Family,Autumn,Sightseeing,Goa
